,Region_name,Observed_indoor_richness,Observed_naturalized_richness,Projected_naturalized_richness_indoor_current,Projected_naturalized_richness_indoor_2C,Projected_naturalized_richness_indoor_4C,Projected_naturalized_richness_difference_2C,Projected_naturalized_richness_difference_4C,Projected_naturalized_richness_difference_warm_scen,Observed_harmful_indoor_richness,Observed_harmful_naturalized_richness,Projected_harmful_naturalized_richness_indoor_current,Projected_harmful_naturalized_richness_indoor_2C,Projected_harmful_naturalized_richness_indoor_4C,Projected_harmful_naturalized_richness_difference_2C,Projected_harmful_naturalized_richness_difference_4C,Projected_harmful_naturalized_richness_warm_scen,Observed_env_impact_indoor,Observed_env_impact_naturalized,Cumulative_env_SWIS_indoor_current,Cumulative_env_SWIS_indoor_2C,Cumulative_env_SWIS_indoor_4C,Projected_env_SWIS_difference_2C,Projected_env_SWIS_difference_4C,Projected_env_SWIS_difference_warm_scen,Observed_soc_impact_indoor,Observed_soc_impact_naturalized,Cumulative_soc_SWIS_indoor_current,Cumulative_soc_SWIS_indoor_2C,Cumulative_soc_SWIS_indoor_4C,Projected_soc_SWIS_difference_2C,Projected_soc_SWIS_difference_4C,Projected_soc_SWIS_difference_warm_scen
77,Coahuila,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA
78,Cocos (Keeling) Islands,NA,12,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA
79,Colima,NA,5,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA
80,Colorado,2,3,0.093957995,0.109884789,0.158590318,0.015926793,0.064632322,0.048705529,1,NA,0.093565218,0.109383178,0.157682711,0.01581796,0.064117493,0.048299533,4,NA,0.374260871,0.437532711,0.630730845,0.06327184,0.256469974,0.193198134,0,NA,0,0,0,0,0,0
81,Comoros,NA,35,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA
82,Congo,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA
83,Connecticut,5,4,0.260654638,0.33709514,0.573129182,0.076440501,0.312474544,0.236034043,4,1,0.260127668,0.336364968,0.571635885,0.0762373,0.311508217,0.235270917,23,9,0.7062172,0.892665167,1.480298157,0.186447967,0.774080957,0.58763299,12,6,0.575274651,0.777319484,1.428116653,0.202044833,0.852842003,0.650797169
84,Cook Islands,NA,26,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA
85,Coral Sea Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,Corrientes,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,Corsica,2,4,0.691798752,0.769642547,0.840400361,0.077843795,0.148601609,0.070757814,1,2,0.684813421,0.759777115,0.826081727,0.074963695,0.141268306,0.066304612,0,18,0,0,0,0,0,0,4,6,2.739253682,3.03910846,3.304326907,0.299854778,0.565073225,0.265218447
88,Costa Rica,NA,17,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA
89,Croatia,2,1,0.445607609,0.50972586,0.626354823,0.064118251,0.180747214,0.116628963,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
